,source,label,key,term,IRI,Status,ERROR,,,,,,,,,,,
blois,,tail.length.mm,,tail length,OBA:VT0002758,in OBA,,,,,,,,,,,,
blois,,c.toothrow.1.mm,,tooth row length,FOVT:0000030,in FOVT,,,,,,,,,,,,
blois,,c.toothrow.2.mm,,tooth row length,FOVT:0000030,in FOVT,,,,,,,,,,,,
blois,,c.diastema.1.mm,,,,,,,,,,,,,,,,
blois,,c.diastema.2.mm,,,,,,,,,,,,,,,,
Helena,Eisenmann,M1 anteroposterior length,,upper molar tooth 1 occlusal surface length,FOVT:0001174,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m1 anteroposterior length,,lower molar tooth 1 occlusal surface length,FOVT:0001175,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,M1 length,,upper molar tooth 1 occlusal surface length,FOVT:0001174,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,m1 length,,lower molar tooth 1 occlusal surface length,FOVT:0001175,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M1 occlusal breadth,,upper molar tooth 1 occlusal surface width,FOVT:0001167,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m1 occlusal breadth,,lower molar tooth 1 occlusal surface width,FOVT:0001168,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M1 occlusal length,,upper molar tooth 1 occlusal surface length,FOVT:0001174,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m1 occlusal length,,lower molar tooth 1 occlusal surface length,FOVT:0001175,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M1 transverse width,,upper molar tooth 1 occlusal surface width,FOVT:0001167,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m1 transverse width,,lower molar tooth 1 occlusal surface width,FOVT:0001168,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,M1 width,,upper molar tooth 1 occlusal surface width,FOVT:0001167,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,m1 width,,lower molar tooth 1 occlusal surface width,FOVT:0001168,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M2 anteroposterior length,,upper molar tooth 2 occlusal surface length,FOVT:0001188,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m2 anteroposterior length,,lower molar tooth 2 occlusal surface length,FOVT:0001189,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,M2 length,,upper molar tooth 2 occlusal surface length,FOVT:0001188,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,m2 length,,lower molar tooth 2 occlusal surface length,FOVT:0001189,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M2 occlusal breadth,,upper molar tooth 2 occlusal surface width,FOVT:0001181,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m2 occlusal breadth,,lower molar tooth 2 occlusal surface width,FOVT:0001182,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M2 occlusal length,,upper molar tooth 2 occlusal surface length,FOVT:0001188,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m2 occlusal length,,lower molar tooth 2 occlusal surface length,FOVT:0001189,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M2 transverse width,,upper molar tooth 2 occlusal surface width,FOVT:0001181,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m2 transverse width,,lower molar tooth 2 occlusal surface width,FOVT:0001182,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,M2 width,,upper molar tooth 2 occlusal surface width,FOVT:0001181,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,m2 width,,lower molar tooth 2 occlusal surface width,FOVT:0001182,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M3 anteroposterior length,,upper molar tooth 3 occlusal surface length,FOVT:0001201,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m3 anteroposterior length,,lower molar tooth 3 occlusal surface length,FOVT:0001202,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,M3 length,,upper molar tooth 3 occlusal surface length,FOVT:0001201,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,m3 length,,lower molar tooth 3 occlusal surface length,FOVT:0001202,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M3 occlusal breadth,,upper molar tooth 3 occlusal surface width,FOVT:0001195,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m3 occlusal breadth,,lower molar tooth 3 occlusal surface width,FOVT:0001196,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M3 occlusal length,,upper molar tooth 3 occlusal surface length,FOVT:0001201,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m3 occlusal length,,lower molar tooth 3 occlusal surface length,FOVT:0001202,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,M3 transverse width,,upper molar tooth 3 occlusal surface width,FOVT:0001195,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,m3 transverse width,,lower molar tooth 3 occlusal surface width,FOVT:0001196,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,M3 width,,upper molar tooth 3 occlusal surface width,FOVT:0001195,in FOVT,,,,,,,,,,,,
Helena,Eisenmann 1976,m3 width,,lower molar tooth 3 occlusal surface width,FOVT:0001196,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII diameter of the anterior facet for the fourth carpal,,metacarpal bone of digit 3 anterior facet for the fourth carpal diameter,FOVT:0001561,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII maximal diameter of the articular facet for the third carpal,,metacarpal bone of digit 3 articular facet for the third carpal diameter,FOVT:0001560,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII diameter of the posterior facet for the fourth carpal,,metacarpal bone of digit 3 posterior facet for the fourth carpal diameter,FOVT:0001566,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII diameter of the articular facet for the second carpal,,metacarpal bone of digit 3 anterior facet for the second carpal diameter,FOVT:0001562,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII depth of the diaphysis at level of minimal breadth,,metacarpal bone of digit 3 diaphysis depth,FOVT:0001354,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII depth of the diaphysis,,metacarpal bone of digit 3 diaphysis depth,FOVT:0001354,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII distal maximal depth of the keel,,metacarpal bone of digit 3 keel depth,FOVT:0001564,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII distal maximal depth of the medial condyle,,metacarpal bone of digit 3 medial condyle depth,FOVT:0001565,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII distal minimal depth of the lateral condyle,,metacarpal bone of digit 3 lateral condyle depth,FOVT:0001358,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII distal maximal articular breadth,,metacarpal bone of digit 3 distal articular breadth,FOVT:0001357,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII proximal articular depth,,metacarpal bone of digit 3 proximal articular breadth,FOVT:0001356,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII maximal length,,metacarpal bone of digit 3 length,OBA:0003044,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII medial length,,metacarpal bone of digit 3 medial length,FOVT:0001558,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII minimal breadth,,metacarpal bone of digit 3 diaphysis breadth,FOVT:0001355,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII proximal articular breadth,,metacarpal bone of digit 3 proximal articular breadth,FOVT:0001356,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MCIII distal maximal supra-articular breadth,,metacarpal bone of digit 3 distal supra-articular breadth,FOVT:0001563,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII diameter of the articular facet for the fourth tarsal,,metatarsal bone of digit 3 aricular facet for fourth tarsal diameter,FOVT:0001609,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII maximal diameter of the articular facet for the third tarsal,,metatarsal bone of digit 3 aricular facet for third tarsal diameter,FOVT:0001608,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII diameter of the articular facet for the second tarsal,,metatarsal bone of digit 3 aricular facet for second tarsal diameter,FOVT:0001610,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII depth of the diaphysis at level of minimal breadth,,metatarsal bone of digit 3 diaphysis breadth,FOVT:0001604,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII depth of the diaphysis,,metatarsal bone of digit 3 diaphysis breadth,FOVT:0001604,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII distal maximal depth of the keel,,metatarsal bone of digit 3 keel depth,FOVT:0001613,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII distal maximal depth of the medial condyle,,metatarsal bone of digit 3 medial condyle depth,FOVT:0001615,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII distal minimal depth of the lateral condyle,,metatarsal bone of digit 3 lateral condyle depth,FOVT:0001614,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII distal maximal articular breadth,,metatarsal bone of digit 3 distal breadth,FOVT:0001652,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII proximal articular depth,,metatarsal bone of digit 3 proximal articular depth,FOVT:0001607,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII maximal length,,metatarsal bone of digit 3 length,OBA:0002565,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,MTIII medial length,,metatarsal bone of digit 3 medial length,FOVT:0001603,in FOVT,,,,,,,,,,,,
