"period_id","period_name","sequence_number"
"1","Mesolithic/Neolithic","2"
"2","Neolithic","3"
"3","Neolithic/Bronze Age","4"
"4","Bronze Age","5"
"5","Bronze Age/Iron Age","6"
"6","Iron Age","7"
"7","Iron Age/Roman","8"
"8","Roman","9"
"9","Early Medieval","10"
"10","Early Medieval/Medieval","11"
"11","Medieval","12"
"12","Post Medieval","13"
"13","Modern","14"
"14","Palaeolithic","1"
