"species_id","common_name","latin_name"
"1","European Fallow deer","Dama dama (European)"
"2","Roe Deer","Capreolus capreolus"
"3","Red Deer","Cervus elaphus"
"4","Reindeer","Rangifer tarandus"
"5","Persian Fallow deer","Dama dama (Persian)"
