"site_type_id","site_type_name"
"1","Castle"
"2","Cave"
"3","Ecclesiastical"
"4","Fort"
"5","Hillfort"
"6","Manor"
"7","Palace"
"8","Settlement"
"9","Tell"
"10","Temple"
"11","Tomb"
"12","Urban"
"13","Villa"
"99","Unknown"
